symbol,date,open,high,low,close,volume
A,2016-12-30,45.759998,45.820000,45.380001,45.560001,1216100
AAL,2016-12-30,47.419998,47.660000,46.470001,46.689999,4495000
AAP,2016-12-30,171.320007,172.000000,168.600006,169.119995,489300
AAPL,2016-12-30,116.650002,117.199997,115.430000,115.820000,30586300
ABBV,2016-12-30,62.730000,62.930000,62.410000,62.619999,5999200
ABC,2016-12-30,79.349998,79.489998,77.959999,78.190002,1387500
ABT,2016-12-30,38.330002,38.869999,38.250000,38.410000,10445600
ACN,2016-12-30,117.559998,117.949997,116.589996,117.129997,1739500
ADBE,2016-12-30,104.070000,104.220001,102.470001,102.949997,2079100
ADI,2016-12-30,73.800003,74.019997,72.389999,72.620003,1758500
ADM,2016-12-30,45.419998,45.689999,45.029999,45.650002,2509000
ADP,2016-12-30,103.379997,103.440002,102.000000,102.779999,2008400
ADS,2016-12-30,229.830002,230.460007,227.389999,228.500000,338700
ADSK,2016-12-30,75.400002,75.419998,73.599998,74.010002,1529600
AEE,2016-12-30,52.490002,52.880001,52.250000,52.459999,950700
AEP,2016-12-30,63.320000,63.419998,62.720001,62.959999,1677000
AES,2016-12-30,11.730000,11.790000,11.590000,11.620000,3245200
AET,2016-12-30,124.559998,124.739998,123.169998,124.010002,1588100
AFL,2016-12-30,70.019997,70.139999,69.430000,69.599998,1193900
AGN,2016-12-30,207.600006,212.449997,207.509995,210.009995,3968000
AIG,2016-12-30,65.400002,65.720001,65.120003,65.309998,4218700
AIV,2016-12-30,44.730000,45.590000,44.410000,45.450001,1380900
AIZ,2016-12-30,93.129997,93.400002,92.470001,92.860001,287800
AJG,2016-12-30,51.959999,52.160000,51.630001,51.959999,1219500
AKAM,2016-12-30,67.250000,67.550003,66.349998,66.680000,966400
ALB,2016-12-30,87.339996,87.739998,85.599998,86.080002,449600
ALK,2016-12-30,88.739998,89.139999,88.019997,88.730003,931000
ALL,2016-12-30,74.540001,74.559998,73.930000,74.120003,1705500
ALLE,2016-12-30,65.040001,65.199997,63.709999,64.000000,501800
ALXN,2016-12-30,123.620003,124.230003,121.809998,122.349998,1427900
AMAT,2016-12-30,32.860001,32.910000,32.180000,32.270000,5848300
AME,2016-12-30,48.709999,48.830002,48.209999,48.599998,1045600
AMG,2016-12-30,144.940002,146.210007,144.369995,145.300003,669800
AMGN,2016-12-30,147.630005,148.750000,145.619995,146.210007,3193100
AMP,2016-12-30,110.620003,111.599998,110.230003,110.940002,798100
AMT,2016-12-30,106.459999,106.690002,105.410004,105.680000,1628100
AMZN,2016-12-30,766.469971,767.400024,748.280029,749.869995,4125300
AN,2016-12-30,48.740002,48.950001,48.299999,48.650002,524500
ANTM,2016-12-30,144.880005,145.500000,143.110001,143.770004,1085700
AON,2016-12-30,111.769997,111.959999,111.059998,111.529999,634300
APA,2016-12-30,63.869999,64.199997,63.270000,63.470001,2238300
APC,2016-12-30,70.070000,70.790001,69.510002,69.730003,2441500
APD,2016-12-30,144.529999,144.820007,143.229996,143.820007,725900
APH,2016-12-30,67.879997,67.879997,66.970001,67.199997,876700
ARNC,2016-12-30,18.780001,19.080000,18.469999,18.540001,5054000
ATVI,2016-12-30,36.529999,36.560001,35.950001,36.110001,5090500
AVB,2016-12-30,175.259995,177.770004,174.889999,177.149994,756300
AVGO,2016-12-30,180.369995,180.899994,176.020004,176.770004,2542100
AVY,2016-12-30,70.940002,71.230003,70.019997,70.220001,585400
AWK,2016-12-30,72.660004,72.889999,72.029999,72.360001,775400
AXP,2016-12-30,73.959999,74.339996,73.839996,74.080002,3378800
AYI,2016-12-30,233.690002,234.119995,229.940002,230.860001,388000
AZO,2016-12-30,800.349976,800.500000,787.190002,789.789978,246400
BA,2016-12-30,156.490005,156.789993,154.960007,155.679993,2027700
BAC,2016-12-30,22.020000,22.260000,21.950001,22.100000,72361100
BAX,2016-12-30,44.439999,44.750000,44.220001,44.340000,2206500
BBBY,2016-12-30,40.950001,41.419998,40.439999,40.639999,1923800
BBT,2016-12-30,46.950001,47.130001,46.720001,47.020000,3467500
BBY,2016-12-30,43.310001,43.650002,42.340000,42.669998,3712500
BCR,2016-12-30,224.210007,226.270004,223.020004,224.660004,481600
